target_id,address,city,state,photo_urls
11,"299 W Gray St, Houston, TX 77019",Houston,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1370AP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1370AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1370AP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1370AP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1370AP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1370AP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1370AP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1370AP08.JPG
12,"3333 Weslayan, Houston, TX 77027",Houston,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP08.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP09.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP10.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP11.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP12.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP13.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP14.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP15.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP16.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP17.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP18.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP19.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP20.JPG
13,"3660 Richmond Ave, Houston, TX 77046",Houston,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4390AP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4390AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4390AP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4390AP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4390AP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4390AP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4390AP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4390AP08.JPG
14,"3800 Main St, Houston, TX 77002",Houston,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4834AP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4834AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4834AP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4834AP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4834AP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4834AP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4834AP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4834AP08.JPG
15,"5110 Azalea Trace Dr, Houston, TX 77066",Houston,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/2301AP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/2301AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/2301AP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/2301AP04.JPG
16,"722 International Blvd, Houston, TX 77024",Houston,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP08.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP09.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP10.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP11.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP12.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP13.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP14.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP15.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP16.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP17.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP18.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP19.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP20.JPG
17,"20102 Cypress Rosehill Rd, Tomball, TX 77377",Tomball,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3578CP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3578CP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3578CP03.JPG
18,"5555 Long Prairie Trace, Richmond, TX 77407",Richmond,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4870AP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4870AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4870AP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4870AP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4870AP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4870AP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4870AP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4870AP08.JPG
19,"9955 Buffalo Speedway, Houston, TX 77054",Houston,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4142AP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4142AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4142AP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4142AP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4142AP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4142AP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4142AP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4142AP08.JPG
20,"11576 Pearland Pkwy, Houston, TX 77089",Houston,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1234AP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1234AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1234AP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1234AP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1234AP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1234AP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1234AP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1234AP08.JPG
